workerid,proliferate.condition,acceptability_rating,bg_response,block_id,condition,context,item_id,original_bg_choice,rt,task,trial_num,verb,wrong_attempts,error
1362,condition1,0.95,NA,practice,practice_acceptability_good_1,Hanako said: Fiona didn't buy <strong>PINEAPPLES</strong>.,201,,,acceptability,0,NA,0,
1362,condition1,NA,correct,practice,practice_bg_good_2,Hanako said: Vera didn't <strong>DRIVE</strong> to Michigan.,202,How Vera travelled to Michigan.,,backgroundedness,0,NA,,
1362,condition1,0.08,NA,practice,practice_accpetability_bad_2,Hanako said: Prisha doesn't speak <strong>KOREAN</strong>.,204,,,acceptability,0,NA,1,
1362,condition1,NA,correct,practice,practice_bg_bad_1,Hanako said: Hank didn't buy the <strong>RED</strong> car.,203,Which car Hank bought.,,backgroundedness,0,NA,,
1362,condition1,0.96,NA,0,filler_bad_1,Hanako said: Larry didn't believe that Karl and <strong>NICK</strong> cooked dinner.,117,NA,15720,acceptability,1,believe,,
1362,condition1,NA,embed,0,filler_bad_2,Hanako said: Rui didn't imply that <strong>CAROL</strong>'s brother signed the contract.,119,"Whose brother signed the contract, according to Rui.",48138,backgroundedness,2,imply,,
1362,condition1,0.74,NA,0,filler_good_1,Hanako said: Grace didn't suggest that Karen wrote a <strong>BOOK</strong>.,104,NA,57047,acceptability,3,suggest,,
1362,condition1,NA,embed,0,filler_good_2,Hanako said: <strong>JESS</strong> didn't reveal that Todd went out with Betty.,111,Who revealed that Todd went out with Betty.,43383,backgroundedness,4,reveal,,
1362,condition1,0.22,NA,0,embed_focus,Hanako said: Bill didn't say cheerfully that Dan knew the <strong>PROFESSOR</strong>.,5,NA,174476,acceptability,5,cheerfully,,
1362,condition1,NA,verb,0,verb_focus,Hanako said: Jake didn't say <strong>STERNLY</strong> that Yumi found the wallet.,7,The way Jake said that Yumi found the wallet.,23689,backgroundedness,6,sternly,,
1362,condition1,0.18,NA,1,verb_focus,Hanako said: Amy didn't say <strong>WEARILY</strong> that Charlie saw the robber.,6,NA,11157,acceptability,7,wearily,,
1362,condition1,0.95,NA,1,filler_bad_2,Hanako said: Donald didn't reveal that <strong>KRISHNA</strong>'s parents were moving to Texas.,123,NA,42852,acceptability,8,reveal,,
1362,condition1,NA,verb,1,filler_good_1,Hanako said: Nancy didn't suspect that Julian ate the <strong> CUPCAKE</strong>.,103,"Who ate the cupcake, according to Nancy.",14547,backgroundedness,9,suspect,,
1362,condition1,NA,embed,1,filler_bad_1,Hanako said: Emily didn't say that Kevin and <strong>PAUL</strong> drafted the letter.,113,"Who else drafted the letter other than Kevin, according to Emily.",17006,backgroundedness,10,say,,
1362,condition1,NA,verb,1,filler_good_2,Hanako said: <strong>JULIAN</strong> didn't guess that Charlie received a message.,110,"What Charlie received, according to Julian.",133322,backgroundedness,11,guess,,
1362,condition1,0.47,NA,1,embed_focus,Hanako said: John didn't say softly that Mary met with the <strong>LAWYER</strong>.,1,NA,10777,acceptability,12,softly,,
1362,condition1,0.03,NA,2,filler_bad_1,Hanako said: Tim didn't suspect that Liz and <strong>JASON</strong> drank the beer. ,115,NA,16238,acceptability,13,suspect,,
1362,condition1,NA,verb,2,embed_focus,Hanako said: Ashley didn't say gently that Hasan talked to the <strong>DETECTIVES</strong>.,8,The way Ashley said that Hasan talked to the detectives.,15157,backgroundedness,14,gently,,
1362,condition1,0.96,NA,2,filler_good_1,Hanako said: Danny didn't believe that Jennifer got a <strong>CAT</strong>.,105,NA,21111,acceptability,15,believe,,
1362,condition1,NA,verb,2,verb_focus,Hanako said: Emma didn't say <strong>QUIETLY</strong> that Kevin lost the keys.,2,The way Emma said that Kevin lost the keys.,18951,backgroundedness,16,quietly,,
1362,condition1,0.96,NA,2,filler_good_2,Hanako said: <strong>KATE</strong> didn't insist that Zack broke the plates.,109,NA,15813,acceptability,17,insist,,
1362,condition1,NA,embed,2,filler_bad_2,Hanako said: Frankie didn't hope that the agent of the <strong>GUITARIST</strong> would show up. ,120,"Whose agent would show up, according to Frankie.",31778,backgroundedness,18,hope,,
1362,condition1,0.31,NA,3,filler_good_1,Hanako said: Charlie didn't expect that Maddie would call her <strong>ROOMMATE</strong>.,106,NA,8786,acceptability,19,expect,,
1362,condition1,NA,verb,3,embed_focus,Hanako said: Fatima didn't say ruefully that Omar had dinner with his <strong>MANAGER</strong>.,10,The way Fatima said that Omar had dinner with his manager.,25666,backgroundedness,20,ruefully,,
1362,condition1,0.97,NA,3,filler_good_2,Hanako said: <strong>RONALD</strong> didn't imply that Jacy rented the truck.,107,NA,11406,acceptability,21,imply,,
1362,condition1,0.73,NA,3,filler_bad_1,Hanako said: Ben didn't expect that Judith and <strong>LAURA</strong> would order pizza.,118,NA,162135,acceptability,22,expect,,
1362,condition1,NA,verb,3,filler_bad_2,Hanako said: Jessie didn't guess that the assistant to the <strong>DIRECTOR</strong> would give the presentation.,122,"What the assistant to the director would do, according to Jessie.",53692,backgroundedness,23,guess,,
1362,condition1,NA,verb,3,verb_focus,Hanako said: Igor didn't say <strong>CALMLY</strong> that Penny won the lottery.,11,The way Igor said that Penny won the lottery.,42120,backgroundedness,24,calmly,,
1362,condition1,NA,verb,4,verb_focus,Hanako said: Howard didn't say <strong>LOUDLY</strong> that Alex bought a birthday cake.,3,The way Howard said that Alex bought a birthday cake.,10538,backgroundedness,25,loudly,,
1362,condition1,0.02,NA,4,filler_bad_1,Hanako said: Tony didn't suggest that Frank and <strong>LISA</strong> were in the office.,116,NA,19739,acceptability,26,suggest,,
1362,condition1,0.8,NA,4,filler_good_1,Hanako said: Hannah didn't say that George emailed the <strong>STUDENTS</strong>.,101,NA,26755,acceptability,27,say,,
1362,condition1,0.04,NA,4,filler_good_2,Hanako said: <strong>MATTHEW</strong> didn't hope that Dana brought a gift.,108,NA,11414,acceptability,28,hope,,
1362,condition1,NA,verb,4,filler_bad_2,Hanako said: Jamal didn't expect that the book about <strong>ASTRONOMY</strong> was on the shelf.,124,"Where the book about astronomy was, according to Jamal.",15656,backgroundedness,29,expect,,
1362,condition1,NA,verb,4,embed_focus,Hanako said: Chandler didn't say dryly that Tia brought her <strong>PARENTS</strong>.,12,The way Chandler said that Tia brought her parents.,26764,backgroundedness,30,dryly,,
1362,condition1,NA,verb,5,verb_focus,Hanako said: Yash didn't say <strong>WISTFULLY</strong> that Ming forgot her phone.,9,The way Yash said that Ming forgot her phone.,25824,backgroundedness,31,wistfully,,
1362,condition1,NA,embed,5,filler_good_1,Hanako said: Ollie didn't think that Doug would invite the <strong>MAYOR</strong>.,102,"Who Doug would invite, according to Ollie.",9401,backgroundedness,32,think,,
1362,condition1,0.92,NA,5,filler_good_2,Hanako said: <strong>SALLY</strong> didn't expect that Tony would visit George.,112,NA,12973,acceptability,33,expect,,
1362,condition1,NA,verb,5,embed_focus,Hanako said: Laura didn't say bluntly that Brandon broke his <strong>LAPTOP</strong>.,4,The way Laura said that Brandon broke his laptop.,11109,backgroundedness,34,bluntly,,
1362,condition1,0.97,NA,5,filler_bad_1,Hanako said: Helen didn't think that Rob and <strong>MARC</strong> cut the bread. ,114,NA,11394,acceptability,35,think,,
1362,condition1,0.82,NA,5,filler_bad_2,Hanako said: Ted didn't insist that <strong>EVA</strong>'s uncle should stay for dinner. ,121,NA,21189,acceptability,36,insist,,
1401,condition1,0.98,NA,practice,practice_acceptability_good_1,Hanako said: Fiona didn't buy <strong>PINEAPPLES</strong>.,201,,,acceptability,0,NA,0,
1401,condition1,NA,correct,practice,practice_bg_good_2,Hanako said: Vera didn't <strong>DRIVE</strong> to Michigan.,202,How Vera travelled to Michigan.,,backgroundedness,0,NA,,
1401,condition1,0,NA,practice,practice_accpetability_bad_2,Hanako said: Prisha doesn't speak <strong>KOREAN</strong>.,204,,,acceptability,0,NA,1,
