"workerid","proliferate.condition","acceptability_rating","bg_response","block_id","condition","context","item_id","original_bg_choice","rt","task","trial_num","verb","wrong_attempts","error"
117,"condition1",0.99,NA,"practice","practice_acceptability_good_1","Hanako said: Fiona didn't buy pineapples.",201,"",NA,"acceptability",0,NA,0,NA
117,"condition1",NA,"incorrect","practice","practice_bg_good_2","<u>Hanako said: Vera didn't drive to Michigan.</u>",202,"Where Vera drove to.",NA,"backgroundedness",0,NA,NA,NA
117,"condition1",0.1,NA,"practice","practice_accpetability_bad_2","Hanako said: Prisha doesn't speak Korean.",204,"",NA,"acceptability",0,NA,2,NA
117,"condition1",NA,"correct","practice","practice_bg_bad_1","<u>Hanako said: Hank didn't buy the red car.</u>",203,"Which car Hank bought.",NA,"backgroundedness",0,NA,NA,NA
117,"condition1",NA,"verb","0","mos","<u>Hanako said: John didn't whisper that Mary met with the lawyer.</u>",1,"The way John communicated that Mary met with the lawyer.",5655,"backgroundedness",1,"whisper",NA,NA
117,"condition1",0.9,NA,"0","filler_good","Hanako said: Julie didn't guess that Charlie received a message.",108,NA,2063,"acceptability",2,"guess",NA,NA
117,"condition1",NA,"verb","0","say","<u>Hanako said: Tim didn't say that Jason drank the beer. </u>",304,"The way Tim communicated that Jason drank the beer.",3808,"backgroundedness",3,"say",NA,NA
117,"condition1",0.91,NA,"0","filler_bad","Hanako said: Amelia didn't suggest that Frank and Lisa were in the office.",117,NA,2247,"acceptability",4,"suggest",NA,NA
117,"condition1",0.82,NA,"1","filler_bad","Hanako said: Jessie didn't guess that the assistant to the director would give the presentation.",121,NA,2176,"acceptability",5,"guess",NA,NA
117,"condition1",0.93,NA,"1","say","Hanako said: Emily didn't say that Paul drafted the letter.",302,NA,42999,"acceptability",6,"say",NA,NA
117,"condition1",NA,"verb","1","mos","<u>Hanako said: Igor didn't shriek that Penny won the lottery.</u>",11,"The way Igor communicated that Penny won the lottery.",2208,"backgroundedness",7,"shriek",NA,NA
117,"condition1",NA,"verb","1","filler_good","<u>Hanako said: Ronald didn't imply that Jacy rented the truck.</u>",106,"What Jacy rented, according to Ronald.",26527,"backgroundedness",8,"imply",NA,NA
117,"condition1",NA,"verb","2","mos","<u>Hanako said: Emma didn't stammer that Kevin lost the keys.</u>",2,"The way Emma communicated that Kevin lost the keys.",81159,"backgroundedness",9,"stammer",NA,NA
