item,verb,condition,speaker_1_name,speaker_2_name,context,target,context_full,target_full,bg_question,option_bg,option_fg
1,softly,verb_focus,Hanako,Scott,John didn't say SOFTLY that Mary met with the lawyer.,Then who did John say softly that Mary met with?,Hanako said: John didn't say SOFTLY that Mary met with the lawyer.,Scott said: Then who did John say softly that Mary met with?,#NAME?,"Who Mary met with, according to John.",The way John said that Mary met with the lawyer.
2,quietly,verb_focus,Hanako,Scott,Emma didn't say QUIETLY that Kevin lost the keys.,Then what did Emma say quietly that Kevin lost?,Hanako said: Emma didn't say QUIETLY that Kevin lost the keys.,Scott said: Then what did Emma say quietly that Kevin lost?,#NAME?,"What Kevin lost, according to Emma.",The way Emma said that Kevin lost the keys.
3,loudly,verb_focus,Hanako,Scott,Howard didn't say LOUDLY that Alex bought a birthday cake.,Then what did Howard say loudly that Alex bought?,Hanako said: Howard didn't say LOUDLY that Alex bought a birthday cake.,Scott said: Then what did Howard say loudly that Alex bought?,#NAME?,What Alex bought according to Howard.,The way Howard said that Alex bought a birthday cake.
4,bluntly,verb_focus,Hanako,Scott,Laura didn't say BLUNTLY that Brandon broke his laptop.,Then what did Laura say bluntly that Brandon broke?,Hanako said: Laura didn't say BLUNTLY that Brandon broke his laptop.,Scott said: Then what did Laura say bluntly that Brandon broke?,#NAME?,What Brandon broke according to Laura.,The way Laura said that Brandon broke his laptop.
5,cheerfully,verb_focus,Hanako,Scott,Bill didn't say CHEERFULLY that Dan knew the professor.,Then who did Bill say cheerfully that Dan knew?,Hanako said: Bill didn't say CHEERFULLY that Dan knew the professor.,Scott said: Then who did Bill say cheerfully that Dan knew?,#NAME?,Who Dan knew according to Bill.,The way Bill said that Dan knew the professor.
6,wearily,verb_focus,Hanako,Scott,Amy didn't say WEARILY that Charlie saw the robber.,Then who did Amy say wearily that Charlie saw?,Hanako said: Amy didn't say WEARILY that Charlie saw the robber.,Scott said: Then who did Amy say wearily that Charlie saw?,#NAME?,Who Charlie saw according to Amy.,The way Amy said that Charlie saw the robber.
7,sternly,verb_focus,Hanako,Scott,Jake didn't say STERNLY that Yumi found the wallet.,Then what did Jake say sternly that Yumi found?,Hanako said: Jake didn't say STERNLY that Yumi found the wallet.,Scott said: Then what did Jake say sternly that Yumi found?,#NAME?,What Yumi found according to Jake.,The way Jake said that Yumi found the wallet.
8,gently,verb_focus,Hanako,Scott,Ashley didn't say GENTLY that Hasan talked to the detectives.,Then who did Ashley say gently that Hasan talked to?,Hanako said: Ashley didn't say GENTLY that Hasan talked to the detectives.,Scott said: Then who did Ashley say gently that Hasan talked to?,#NAME?,Who Hasan talked to according to Ashley.,The way Ashley said that Hasan talked to the detectives.
9,wistfully,verb_focus,Hanako,Scott,Yash didn't say WISTFULLY that Ming forgot her phone. ,Then what did Yash say wistfully that Ming forgot?,Hanako said: Yash didn't say WISTFULLY that Ming forgot her phone. ,Scott said: Then what did Yash say wistfully that Ming forgot?,#NAME?,What Ming forgot according to Yash.,The way Yash said that Ming forgot her phone.
10,ruefully,verb_focus,Hanako,Scott,Fatima didn't say RUEFULLY that Omar had dinner with his manager.,Then who did Fatima say ruefully that Omar had dinner with?,Hanako said: Fatima didn't say RUEFULLY that Omar had dinner with his manager.,Scott said: Then who did Fatima say ruefully that Omar had dinner with?,#NAME?,Who Omar had dinner with according to Fatima.,The way Fatima said that Omar had dinner with his manager.
