workerid,proliferate.condition,acceptability_rating,bg_response,block_id,condition,context,item_id,original_bg_choice,rt,task,trial_num,verb,wrong_attempts,error
105,condition1,0.94,NA,practice,practice_acceptability_good_1,Hanako said: Fiona didn't buy <strong>PINEAPPLES</strong>.,201,,,acceptability,0,NA,0,
105,condition1,NA,correct,practice,practice_bg_good_2,Hanako said: Vera didn't <strong>DRIVE</strong> to Michigan.,202,How Vera travelled to Michigan.,,backgroundedness,0,NA,,
105,condition1,0.2,NA,practice,practice_accpetability_bad_2,Hanako said: Prisha doesn't speak <strong>KOREAN</strong>.,204,,,acceptability,0,NA,0,
105,condition1,NA,incorrect,practice,practice_bg_bad_1,Hanako said: Hank didn't buy the <strong>RED</strong> car.,203,Who bought the red car.,,backgroundedness,0,NA,,
105,condition1,0.31,NA,0,embed_focus,Hanako said: Igor didn't shriek that Penny won the <strong>LOTTERY</strong>.,11,NA,13933,acceptability,1,shriek,,
105,condition1,NA,incorrect,0,filler_bad_2,Hanako said: Donald didn't reveal that <strong>KRISHNA</strong>'s parents were moving to Texas.,123,"Where Krishna's parents were moving to, according to Donald.",30006,backgroundedness,2,reveal,,
105,condition1,0.86,NA,0,verb_focus,Hanako said: Emma didn't <strong>STAMMER</strong> that Kevin lost the keys.,2,NA,12814,acceptability,3,stammer,,
105,condition1,0.92,NA,0,filler_good_2,Hanako said: <strong>RONALD</strong> didn't imply that Jacy rented the truck.,107,NA,11753,acceptability,4,imply,,
105,condition1,NA,incorrect,0,filler_bad_1,Hanako said: Helen didn't think that Rob and <strong>MARC</strong> cut the bread. ,114,Who thought that Rob and Marc cut the bread.,20630,backgroundedness,5,think,,
105,condition1,NA,correct,0,filler_good_1,Hanako said: Charlie didn't expect that Maddie would call her <strong>ROOMMATE</strong>.,106,"Who Maddie would call, according to Charlie.",18971,backgroundedness,6,expect,,
105,condition1,0.97,NA,1,filler_good_1,Hanako said: Nancy didn't suspect that Julian ate the <strong> CUPCAKE</strong>.,103,NA,12263,acceptability,7,suspect,,
105,condition1,NA,correct,1,filler_bad_2,Hanako said: Ted didn't insist that <strong>EVA</strong>'s uncle should stay for dinner. ,121,"Whose uncle should stay for dinner, according to Ted.",14858,backgroundedness,8,insist,,
105,condition1,NA,incorrect,1,embed_focus,Hanako said: Ashley didn't groan that Hasan talked to the <strong>DETECTIVES</strong>.,8,The way Ashley said that Hasan talked to the detectives.,13758,backgroundedness,9,groan,,
105,condition1,0.39,NA,1,verb_focus,Hanako said: Chandler didn't <strong>MOAN</strong> that Tia brought her parents.,12,NA,13568,acceptability,10,moan,,
105,condition1,NA,incorrect,1,filler_bad_1,Hanako said: Tony didn't suggest that Frank and <strong>LISA</strong> was in the office.,116,Who suggested that Frank and Lisa was in the office.,11450,backgroundedness,11,suggest,,
105,condition1,0.58,NA,1,filler_good_2,Hanako said: <strong>MATTHEW</strong> didn't hope that Dana brought a gift.,108,NA,11520,acceptability,12,hope,,
105,condition1,NA,incorrect,2,filler_bad_1,Hanako said: Emily didn't say that Kevin and <strong>PAUL</strong> drafted the letter.,113,Who said that Kevin and Paul drafted the letter.,12507,backgroundedness,13,say,,
