item,verb,condition,context_full,target_full,option_bg,option_fg
1,whisper,mos,Hanako said: John didn't whisper that Mary met with the lawyer.,Scott said: Then who did John whisper that Mary met with?,"Who Mary met with, according to John.",The way John said that Mary met with the lawyer.
2,stammer,mos,Hanako said: Emma didn't stammer that Kevin lost the keys.,Scott said: Then what did Emma stammer that Kevin lost?,"What Kevin lost, according to Emma.",The way Emma said that Kevin lost the keys.
3,mumble,mos,Hanako said: Howard didn't mumble that Alex bought a birthday cake.,Scott said: Then what did Howard mumble that Alex bought?,"What Alex bought, according to Howard.",The way Howard said that Alex bought a birthday cake.
4,mutter,mos,Hanako said: Laura didn't mutter that Brandon broke his laptop.,Scott said: Then what did Laura mutter that Brandon broke?,"What Brandon broke, according to Laura.",The way Laura said that Brandon broke his laptop.
5,shout,mos,Hanako said: Bill didn't shout that Dan knew the professor.,Scott said: Then who did Bill shout that Dan knew?,"Who Dan knew, according to Bill.",The way Bill said that Dan knew the professor.
6,scream,mos,Hanako said: Amy didn't scream that Charlie saw the robber.,Scott said: Then who did Amy scream that Charlie saw?,"Who Charlie saw, according to Amy.",The way Amy said that Charlie saw the robber.
7,yell,mos,Hanako said: Jake didn't yell that Yumi found the wallet.,Scott said: Then what did Jake yell that Yumi found?,"What Yumi found, according to Jake.",The way Jake said that Yumi found the wallet.
8,groan,mos,Hanako said: Ashley didn't groan that Hasan talked to the detectives.,Scott said: Then who did Ashley groan that Hasan talked to?,"Who Hasan talked to, according to Ashley.",The way Ashley said that Hasan talked to the detectives.
9,whine,mos,Hanako said: Yash didn't whine that Ming forgot her phone. ,Scott said: Then what did Yash whine that Ming forgot?,"What Ming forgot, according to Yash.",The way Yash said that Ming forgot her phone.
10,murmur,mos,Hanako said: Fatima didn't murmur that Omar had dinner with his manager.,Scott said: Then who did Fatima murmur that Omar had dinner with?,"Who Omar had dinner with, according to Fatima.",The way Fatima said that Omar had dinner with his manager.
11,shriek,mos,Hanako said: Igor didn't shriek that Penny won the lottery.,Scott said: Then what did Igor shriek that Penny won?,"What Penny won, according to Igor.",The way Igor said that Penny won the lottery.
12,moan,mos,Hanako said: Chandler didn't moan that Tia brought her parents.,Scott said: Then who did Chandler moan that Tia brought?,"Who Tia brought, according to Chandler.",The way Chandler said that Tia brought her parents.
301,say,say,Hanako said: Hannah didn't say that George emailed the students.,Scott said: Then who did Hannah say that George emailed?,"Who George emailed, according to Hannah.","What Hannah did with the message ""George emailed the students."""
302,say,say,Hanako said: Emily didn't say that Paul drafted the letter.,Scott said: Then what did Emily say that Paul drafted?,"What Paul drafted, according to Emily.","What Emily did with the message ""Paul drafted the letter."""
303,say,say,Hanako said: Sally didn't say that Tony would visit George.,Scott said: Then who did Sally say that Tony would visit?,"Who Tony would visit, according to Sally.","What Sally did with the message ""Tony would visit George."""
304,say,say,Hanako said: Tim didn't say that Jason drank the beer. ,Scott said: Then what did Tim say that Jason drank?,"What Jason drank, according to Tim.","What Tim did with the message ""Jason drank the beer."""
305,say,say,Hanako said: Charlie didn't say that Maddie would call her roommate.,Scott said: Then who did Charlie say that Maddie would call?,"Who Maddie would call, according to Charlie.","What Charlie did with the message ""Maddie would call her roommate."""
306,say,say,Hanako said: Kate didn't say that Zack broke the plates.,Scott said: Then what did Kate say that Zack broke?,"What Zack broke, according to Kate.","What Kate did with the message ""Zack broke the plates."""
