workerid,proliferate.condition,acceptability_rating,bg_response,block_id,condition,context,item_id,original_bg_choice,rt,task,trial_num,verb,wrong_attempts,error
200,condition1,0.85,NA,practice,practice_acceptability_good_1,Hanako said: Fiona didn't buy <b>PINEAPPLES</b>.,201,,,acceptability,0,NA,0,
200,condition1,NA,correct,practice,practice_bg_good_2,Hanako said: Vera didn't <b>DRIVE</b> to Michigan.,202,How Vera travelled to Michigan.,,backgroundedness,0,NA,,
200,condition1,0.22,NA,practice,practice_accpetability_bad_2,Hanako said: Prisha doesn't speak <b>KOREAN</b>.,204,,,acceptability,0,NA,0,
200,condition1,NA,correct,practice,practice_bg_bad_1,Hanako said: Hank didn't buy the <b>RED</b> car.,203,Which car Hank bought.,,backgroundedness,0,NA,,
200,condition1,0.7,NA,0,filler_good,Hanako said: <b>JESS</b> didn't reveal that Todd went out with Betty.,106,NA,20618,acceptability,1,reveal,,
200,condition1,NA,embed,0,embed_focus,Hanako said: Nancy didn't say that Julian ate the <b>CUPCAKE</b>.,309,"What Julian ate, according to Nancy.",20167,backgroundedness,2,say,,
200,condition1,0.17,NA,0,filler_bad,Hanako said: Helen didn't think that Rob and <b>MARC</b> cut the bread. ,107,NA,16599,acceptability,3,think,,
200,condition1,0.61,NA,0,embed_focus,Hanako said: Bill didn't shout that Dan knew the <b>PROFESSOR</b>.,5,NA,13650,acceptability,4,shout,,
200,condition1,0.22,NA,0,verb_focus,Hanako said: Hannah didn't <b>SAY</b> that George emailed the students.,301,NA,22183,acceptability,5,say,,
200,condition1,NA,verb,0,verb_focus,Hanako said: Ashley didn't <b>GROAN</b> that Hasan talked to the detectives.,8,The way Ashley communicated that Hasan talked to the detectives.,24418,backgroundedness,6,groan,,
200,condition1,NA,embed,1,embed_focus,Hanako said: Howard didn't mumble that Alex bought a <b>BIRTHDAY CAKE</b>.,3,"What Alex bought, according to Howard.",39032,backgroundedness,7,mumble,,
200,condition1,0.87,NA,1,filler_good,Hanako said: Ollie didn't think that Doug would invite the <b>MAYOR</b>.,101,NA,9114,acceptability,8,think,,
200,condition1,0.34,NA,1,verb_focus,Hanako said: Tom didn't <b>SAY</b> that Sarah admired her friend.,311,NA,19967,acceptability,9,say,,
200,condition1,0.79,NA,1,embed_focus,Hanako said: Ben didn't say that Laura ordered <b>PIZZA</b>.,307,NA,11150,acceptability,10,say,,
200,condition1,NA,verb,1,verb_focus,Hanako said: Chandler didn't <b>MOAN</b> that Tia brought her parents.,12,The way Chandler communicated that Tia brought her parents.,18669,backgroundedness,11,moan,,
200,condition1,0.23,NA,1,filler_bad,Hanako said: Rui didn't imply that <b>CAROL</b>'s brother signed the contract.,110,NA,13148,acceptability,12,imply,,
200,condition1,0.84,NA,2,filler_good,Hanako said: <b>JULIE</b> didn't guess that Charlie received a message.,105,NA,7218,acceptability,13,guess,,
200,condition1,NA,verb,2,verb_focus,Hanako said: Jake didn't <b>YELL</b> that Yumi found the wallet.,7,The way Jake communicated that Yumi found the wallet.,10317,backgroundedness,14,yell,,
200,condition1,0.25,NA,2,embed_focus,Hanako said: Igor didn't shriek that Penny won the <b>LOTTERY</b>.,11,NA,16315,acceptability,15,shriek,,
200,condition1,0.93,NA,2,filler_bad,Hanako said: Jessie didn't guess that the assistant to the <b>DIRECTOR</b> would give the presentation.,112,NA,9284,acceptability,16,guess,,
200,condition1,0.83,NA,2,embed_focus,Hanako said: Jessie didn't say that Michelle borrowed the <b>COMPUTER</b>.,310,NA,7116,acceptability,17,say,,
200,condition1,NA,verb,2,verb_focus,Hanako said: Emily didn't <b>SAY</b> that Paul drafted the letter.,302,The way Emily communicated that Paul drafted the letter.,9967,backgroundedness,18,say,,
200,condition1,0.35,NA,3,verb_focus,Hanako said: Noah didn't <b>SAY</b> that Sharon wanted a dog.,312,NA,15066,acceptability,19,say,,
200,condition1,NA,embed,3,embed_focus,Hanako said: Emma didn't stammer that Kevin lost the <b>KEYS</b>.,2,"What Kevin lost, according to Emma.",9433,backgroundedness,20,stammer,,
200,condition1,0.24,NA,3,filler_bad,Hanakko said: Larry didn't believe that Karl and <b>NICK</b> cooked dinner.,109,NA,11415,acceptability,21,believe,,
200,condition1,NA,verb,3,verb_focus,Hanako said: John didn't <b>WHISPER</b> that Mary met with the lawyer.,1,The way John communicated that Mary met with the lawyer.,17767,backgroundedness,22,whisper,,
200,condition1,0.85,NA,3,filler_good,Hanako said: Grace didn't suggest that Karen wrote a <b>BOOK</b>.,102,NA,10099,acceptability,23,suggest,,
200,condition1,0.91,NA,3,embed_focus,Hanako said: Danny didn't say that Jennifer got a <b>CAT</b>.,308,NA,6567,acceptability,24,say,,
200,condition1,0.1,NA,4,filler_bad,Hanako said: Tim didn't suspect that Liz and <b>JASON</b> drank the beer. ,108,NA,13033,acceptability,25,suspect,,
200,condition1,0.25,NA,4,verb_focus,Hanako said: Laura didn't <b>MUTTER</b> that Brandon broke his laptop.,4,NA,8416,acceptability,26,mutter,,
200,condition1,0.91,NA,4,filler_good,Hanako said: <b>MATTHEW</b> didn't hope that Dana brought a gift.,104,NA,9199,acceptability,27,hope,,
