item,verb,condition,context_full,target_full,option_bg,option_fg
101,say,filler_good_1,Hanako said: Hannah didn't say that George emailed the STUDENTS.,Scott said: Then who did Hannah say that George emailed?,Who George emailed according to Hannah.,Who emailed the students according to Hannah.
102,think,filler_good_1,Hanako said: Ollie didn't think that Doug would invite the MAYOR.,Scott said: Then who did Ollie think that Doug would invite?,Who Doug would invite according to Ollie.,Who invited the mayor acoording to Ollie.
103,suspect,filler_good_1,Hanako said: Nancy didn't suspect that Julian ate the LAST CUPCAKE.,Scott said: Then what did Nancy suspect that Julian ate?,What Julian ate according to Nancy.,Who ate the last cupcake according to Nancy.
104,suggest,filler_good_1,Hanako said: Grace didn't sugguest that Karen wrote a BOOK.,Scott said: Then what did Grace suggst that Karen wrote?,What Karen wrote according to Grace.,Who wrote a book according to Grace.
105,believe,filler_good_1,Hanako said: Danny didn't believe that Jennifer got a CAT.,Scott said: Then what did Danny believe that Jennifer got?,What Jennifer got according to Danny.,Who got a cat according to Danny.
106,expect,filler_good_1,Hanako said: Charlie didn't expect that Maddie would call her ROOMMATE.,Scott said: Then who did Charlie expect that Maddie would call?,Who Maddie would call according to Charlie.,Who would call Maddie's roommates according to Charlie.
107,imply,filler_good_2,Hanako said: RONALD didn't imply that Jacy rented the truck.,Scott said: Then who implied that Jacy rented the truck?,Who implied that Jacy rented the truck.,What Jacy rented according to Ronald.
108,hope,filler_good_2,Hanako said: MATTHEW didn't hope that Dana brought a gift.,Scott said: Then who hoped that Dana brought a gift?,Who hoped that Dana brought a gift.,What Dana brought according to Matthew.
109,insist,filler_good_2,Hanako said: KATE didn't insist that Zack broke the plates.,Scott said: Then who insisted that Zack broke the plates?,Who insisted that Zack broke the plates.,What Zack broke according to Kate.
110,guess,filler_good_2,Hanako said: JULIAN didn't guess that Charlie received a message.,Scott said: Then who guessed that Charlie received a message?,Who guessed that Charlie received a message.,What Charlie received according to Julian.
111,reveal,filler_good_2,Hanako said: JESS didn't reveal that Todd went out with Betty.,Scott said: Then who revealed that Todd went out with Betty?,Who revealed that Todd went out with Betty.,Who Todd went out with according to Jess.
112,expect,filler_good_2,Hanako said: SALLY didn't expect that Tony would visit George.,Scott said: Then who expected that Tony would visit George?,Who expected that Tony would visit George.,Who Tony would visit according to Sally.
113,say,filler_bad_1,Hanako said: Emily didn't say that PAUL drafted the letter.,Scott said: Then who did Emily say that drafted the letter?,Who drafted the letter according to Emily.,Who said that Paul drafted the letter.
114,think,filler_bad_1,Hanako said: Helen didn't think that MARC cut the bread. ,Scott said: Then who did Helen think that cut the bread?,Who cut the bread according to Helen.,Who thought that Marc cut the bread.
115,suspect,filler_bad_1,Hanako said: Tim didn't suspect that JASON drank the beer. ,Scott said: Then who did Tim suspect that drank the beer?,Who drank the beer according to Tim.,Who suspected that Jason drank the beer.
116,suggest,filler_bad_1,Hanako said: Tony didn't suggest that LISA was in the office.,Scott said: Then who did Tony suggest that was in the office?,Who was in the office according to Tony.,Who suggested that Lisa was in the office.
117,believe,filler_bad_1,Hanako said: Larry didn't believe that NICK cooked dinner.,Scott said: Then who did Larry believe that cooked dinner?,Who cooked dinner according to Larry.,Who believed that Nick cooked dinner.
118,expect,filler_bad_1,Hanako said: Ben didn't expect that LAURA would order pizza.,Scott said: Then who did Ben expect that would order pizza?,Who would order pizza according to Ben.,Who expected that Laura would order pizza.
119,imply,filler_bad_2,Hanako said: Rui didn't imply that the brother of CAROL signed the contract.,Scott said: Then who did Rui imply that the brother of signed the contract?,Whose brother signed the contract according to Rui.,What the brother of Carol signed according to Rui.
120,hope,filler_bad_2,Hanako said: Frankie didn't hope that the agent of the GUITARIST would show up. ,Scott said: Then who did Frankie hope that the agent of would show up?,Whose agent Frankie hoped would show up.,What the agent of the guitarist did according to Frankie.
121,insist,filler_bad_2,Hanako said: Ted didn't insist that the uncle of EVA should stay for dinner. ,Scott said: Then who did Ted insist that the uncle of should stay for dinner?,Whose uncle should stay for dinner according to Ted.,What the uncle of Eva should do according to Ted.
122,guess,filler_bad_2,Hanako said: Jessie didn't guess that the assistant to the DIRECTOR would give the presentation.,Scott said: Then who did Jessie guess that the assistant to would give the presentation?,Whose assistant would give the presentation according to Jessie.,What the assistant to the director would do according to Jessie.
123,reveal,filler_bad_2,Hanako said: Donald didn't reveal that the parents of KRISHNA were moving to Texas. ,Scott said: Then who did Donald reveal that the parents of were moving to Texas?,Whose parents were moving to Texas according to Donald.,Where Krishna's parents were moving to according to Donald.
124,expect,filler_bad_2,Hanako said: Jamal didn't expect that the roommates of NINA would come to the party.,Scott said: Then who did Jamal expect that the roommates of would come to the party?,Whose roommates would come to the party according to Jamal.,What  Nina's roommates would do according to Jamal. 
