workerid,proliferate.condition,acceptability_rating,bg_response,block_id,condition,context,item_id,original_bg_choice,rt,task,trial_num,verb,wrong_attempts,error
94,condition1,0.92,NA,practice,practice_acceptability_good_1,Hanako said: Fiona didn't buy <strong>PINEAPPLES</strong>.,201,,,acceptability,0,NA,0,
94,condition1,NA,correct,practice,practice_bg_good_2,Hanako said: Vera didn't <strong>DRIVE</strong> to Michigan.,202,How Vera travelled to Michigan.,,backgroundedness,0,NA,,
94,condition1,0.06,NA,practice,practice_accpetability_bad_2,Hanako said: Prisha doesn't speak <strong>KOREAN</strong>.,204,,,acceptability,0,NA,0,
94,condition1,NA,correct,practice,practice_bg_bad_1,Hanako said: Hank didn't buy the <strong>RED</strong> car.,203,Which car Hank bought.,,backgroundedness,0,NA,,
94,condition1,0.96,NA,0,embed_focus,Hanako said: John didn't whisper that Mary met with the <strong>LAWYER</strong>.,1,NA,41368,acceptability,1,whisper,,
94,condition1,NA,correct,0,filler_good_2,Hanako said: <strong>JESS</strong> didn't reveal that Todd went out with Betty.,111,Who revealed that Todd went out with Betty.,22305,backgroundedness,2,reveal,,
94,condition1,0.18,NA,0,verb_focus,Hanako said: Ashley didn't <strong>GROAN</strong> that Hasan talked to the detectives.,8,NA,124431,acceptability,3,groan,,
94,condition1,0.28,NA,0,filler_bad_2,Hanako said: Jamal didn't expect that the book about <strong>ASTRONOMY</strong> was on the shelf.,124,NA,18057,acceptability,4,expect,,
94,condition1,NA,correct,0,filler_good_1,Hanako said: Hannah didn't say that George emailed the <strong>STUDENTS</strong>.,101,"Who George emailed, according to Hannah.",21006,backgroundedness,5,say,,
94,condition1,NA,correct,0,filler_bad_1,Hanako said: Tony didn't suggest that <strong>LISA</strong> was in the office.,116,"Who was in the office, according to Tony.",23089,backgroundedness,6,suggest,,
94,condition1,NA,correct,1,filler_good_1,Hanako said: Danny didn't believe that Jennifer got a <strong>CAT</strong>.,105,"What Jennifer got, according to Danny.",12577,backgroundedness,7,believe,,
94,condition1,0.91,NA,1,embed_focus,Hanako said: Bill didn't shout that Dan knew the <strong>PROFESSOR</strong>.,5,NA,9372,acceptability,8,shout,,
94,condition1,0.89,NA,1,filler_good_2,Hanako said: <strong>RONALD</strong> didn't imply that Jacy rented the truck.,107,NA,15426,acceptability,9,imply,,
94,condition1,0.12,NA,1,verb_focus,Hanako said: Igor didn't <strong>SHRIEK</strong> that Penny won the lottery.,11,NA,10369,acceptability,10,shriek,,
94,condition1,NA,correct,1,filler_bad_2,Hanako said: Ted didn't insist that <strong>EVA</strong>'s uncle should stay for dinner. ,121,"Whose uncle should stay for dinner, according to Ted.",13760,backgroundedness,11,insist,,
94,condition1,NA,correct,1,filler_bad_1,Hanako said: Ben didn't expect that <strong>LAURA</strong> would order pizza.,118,"Who would order pizza, according to Ben.",31654,backgroundedness,12,expect,,
94,condition1,0.97,NA,2,filler_bad_1,Hanako said: Emily didn't say that <strong>PAUL</strong> drafted the letter.,113,NA,26986,acceptability,13,say,,
94,condition1,NA,correct,2,filler_bad_2,Hanako said: Jessie didn't guess that the assistant to the <strong>DIRECTOR</strong> would give the presentation.,122,"Whose assistant would give the presentation, according to Jessie.",55432,backgroundedness,14,guess,,
94,condition1,NA,correct,2,verb_focus,Hanako said: Laura didn't <strong>MUTTER</strong> that Brandon broke his laptop.,4,The way Laura said that Brandon broke his laptop.,17273,backgroundedness,15,mutter,,
94,condition1,0.89,NA,2,filler_good_1,Hanako said: Grace didn't sugguest that Karen wrote a <strong>BOOK</strong>.,104,NA,257226,acceptability,16,suggest,,
94,condition1,0.94,NA,2,embed_focus,Hanako said: Jake didn't yell that Yumi found the <strong>WALLET</strong>.,7,NA,197906,acceptability,17,yell,,
94,condition1,NA,correct,2,filler_good_2,Hanako said: <strong>SALLY</strong> didn't expect that Tony would visit George.,112,Who expected that Tony would visit George.,617411,backgroundedness,18,expect,,
94,condition1,NA,correct,3,filler_good_1,Hanako said: Nancy didn't suspect that Julian ate the <strong>LAST CUPCAKE</strong>.,103,"What Julian ate, according to Nancy.",12885,backgroundedness,19,suspect,,
94,condition1,0.1,NA,3,verb_focus,Hanako said: Fatima didn't <strong>MURMUR</strong> that Omar had dinner with his manager.,10,NA,9696,acceptability,20,murmur,,
94,condition1,NA,correct,3,embed_focus,Hanako said: Yash didn't whine that Ming forgot her <strong>PHONE</strong>.,9,"What Ming forgot, according to Yash.",10620,backgroundedness,21,whine,,
94,condition1,0.94,NA,3,filler_good_2,Hanako said: <strong>KATE</strong> didn't insist that Zack broke the plates.,109,NA,7886,acceptability,22,insist,,
94,condition1,0.87,NA,3,filler_bad_1,Hanako said: Tim didn't suspect that <strong>JASON</strong> drank the beer. ,115,NA,7142,acceptability,23,suspect,,
94,condition1,NA,correct,3,filler_bad_2,Hanako said: Rui didn't imply that <strong>CAROL</strong>'s brother signed the contract.,119,"Whose brother signed the contract, according to Rui.",15836,backgroundedness,24,imply,,
94,condition1,0.87,NA,4,filler_good_2,Hanako said: <strong>MATTHEW</strong> didn't hope that Dana brought a gift.,108,NA,6418,acceptability,25,hope,,
94,condition1,0.94,NA,4,filler_bad_1,Hanako said: Larry didn't believe that <strong>NICK</strong> cooked dinner.,117,NA,7778,acceptability,26,believe,,
94,condition1,NA,correct,4,filler_good_1,Hanako said: Charlie didn't expect that Maddie would call her <strong>ROOMMATE</strong>.,106,"Who Maddie would call, according to Charlie.",21453,backgroundedness,27,expect,,
94,condition1,NA,correct,4,embed_focus,Hanako said: Amy didn't scream that Charlie saw the <strong>ROBBER</strong>.,6,"Who Charlie saw, according to Amy.",20039,backgroundedness,28,scream,,
94,condition1,NA,correct,4,verb_focus,Hanako said: Emma didn't <strong>STAMMER</strong> that Kevin lost the keys.,2,The way Emma said that Kevin lost the keys.,10964,backgroundedness,29,stammer,,
94,condition1,0.94,NA,4,filler_bad_2,Hanako said: Donald didn't reveal that <strong>KRISHNA</strong>'s parents were moving to Texas.,123,NA,9947,acceptability,30,reveal,,
94,condition1,NA,correct,5,filler_good_2,Hanako said: <strong>JULIAN</strong> didn't guess that Charlie received a message.,110,Who guessed that Charlie received a message.,10335,backgroundedness,31,guess,,
94,condition1,NA,correct,5,filler_bad_2,Hanako said: Frankie didn't hope that the agent of the <strong>GUITARIST</strong> would show up. ,120,"Whose agent would show up, according to Frankie.",16469,backgroundedness,32,hope,,
94,condition1,NA,correct,5,verb_focus,Hanako said: Chandler didn't <strong>MOAN</strong> that Tia brought her parents.,12,The way Chandler said that Tia brought her parents.,9413,backgroundedness,33,moan,,
94,condition1,0.91,NA,5,filler_bad_1,Hanako said: Helen didn't think that <strong>MARC</strong> cut the bread. ,114,NA,8627,acceptability,34,think,,
94,condition1,0.98,NA,5,filler_good_1,Hanako said: Ollie didn't think that Doug would invite the <strong>MAYOR</strong>.,102,NA,7441,acceptability,35,think,,
94,condition1,0.98,NA,5,embed_focus,Hanako said: Howard didn't mumble that Alex bought a <strong>BIRTHDAY CAKE</strong>.,3,NA,7188,acceptability,36,mumble,,
95,condition1,0.9,NA,practice,practice_acceptability_good_1,Hanako said: Fiona didn't buy <strong>PINEAPPLES</strong>.,201,,,acceptability,0,NA,0,
95,condition1,NA,correct,practice,practice_bg_good_2,Hanako said: Vera didn't <strong>DRIVE</strong> to Michigan.,202,How Vera travelled to Michigan.,,backgroundedness,0,NA,,
95,condition1,0.01,NA,practice,practice_accpetability_bad_2,Hanako said: Prisha doesn't speak <strong>KOREAN</strong>.,204,,,acceptability,0,NA,0,
95,condition1,NA,correct,practice,practice_bg_bad_1,Hanako said: Hank didn't buy the <strong>RED</strong> car.,203,Which car Hank bought.,,backgroundedness,0,NA,,
95,condition1,0.15,NA,0,embed_focus,Hanako said: Amy didn't scream that Charlie saw the <strong>ROBBER</strong>.,6,NA,38684,acceptability,1,scream,,
95,condition1,NA,correct,0,verb_focus,Hanako said: Bill didn't <strong>SHOUT</strong> that Dan knew the professor.,5,The way Bill said that Dan knew the professor.,53744,backgroundedness,2,shout,,
95,condition1,NA,correct,0,filler_bad_1,Hanako said: Tim didn't suspect that <strong>JASON</strong> drank the beer. ,115,"Who drank the beer, according to Tim.",23769,backgroundedness,3,suspect,,
95,condition1,0.91,NA,0,filler_good_2,Hanako said: <strong>RONALD</strong> didn't imply that Jacy rented the truck.,107,NA,21180,acceptability,4,imply,,
95,condition1,NA,incorrect,0,filler_bad_2,Hanako said: Ted didn't insist that <strong>EVA</strong>'s uncle should stay for dinner. ,121,"What Eva's uncle should do, according to Ted.",56274,backgroundedness,5,insist,,
95,condition1,0.78,NA,0,filler_good_1,Hanako said: Danny didn't believe that Jennifer got a <strong>CAT</strong>.,105,NA,18792,acceptability,6,believe,,
95,condition1,0.49,NA,1,verb_focus,Hanako said: Chandler didn't <strong>MOAN</strong> that Tia brought her parents.,12,NA,47679,acceptability,7,moan,,
95,condition1,NA,correct,1,filler_bad_1,Hanako said: Emily didn't say that <strong>PAUL</strong> drafted the letter.,113,"Who drafted the letter, according to Emily.",18348,backgroundedness,8,say,,
95,condition1,0.85,NA,1,filler_good_2,Hanako said: <strong>JESS</strong> didn't reveal that Todd went out with Betty.,111,NA,24603,acceptability,9,reveal,,
95,condition1,0.78,NA,1,embed_focus,Hanako said: John didn't whisper that Mary met with the <strong>LAWYER</strong>.,1,NA,41633,acceptability,10,whisper,,
95,condition1,NA,correct,1,filler_bad_2,Hanako said: Rui didn't imply that <strong>CAROL</strong>'s brother signed the contract.,119,"Whose brother signed the contract, according to Rui.",66442,backgroundedness,11,imply,,
95,condition1,NA,correct,1,filler_good_1,Hanako said: Ollie didn't think that Doug would invite the <strong>MAYOR</strong>.,102,"Who Doug would invite, according to Ollie.",30682,backgroundedness,12,think,,
95,condition1,NA,correct,2,verb_focus,Hanako said: Emma didn't <strong>STAMMER</strong> that Kevin lost the keys.,2,The way Emma said that Kevin lost the keys.,14568,backgroundedness,13,stammer,,
95,condition1,0.29,NA,2,filler_good_1,Hanako said: Hannah didn't say that George emailed the <strong>STUDENTS</strong>.,101,NA,27816,acceptability,14,say,,
95,condition1,NA,correct,2,filler_good_2,Hanako said: <strong>MATTHEW</strong> didn't hope that Dana brought a gift.,108,Who hoped that Dana brought a gift.,15566,backgroundedness,15,hope,,
95,condition1,0.23,NA,2,filler_bad_2,Hanako said: Frankie didn't hope that the agent of the <strong>GUITARIST</strong> would show up. ,120,NA,17576,acceptability,16,hope,,
95,condition1,0.76,NA,2,embed_focus,Hanako said: Jake didn't yell that Yumi found the <strong>WALLET</strong>.,7,NA,21355,acceptability,17,yell,,
95,condition1,NA,correct,2,filler_bad_1,Hanako said: Larry didn't believe that <strong>NICK</strong> cooked dinner.,117,"Who cooked dinner, according to Larry.",8606,backgroundedness,18,believe,,
95,condition1,NA,correct,3,filler_bad_2,Hanako said: Jamal didn't expect that the book about <strong>ASTRONOMY</strong> was on the shelf.,124,"Which book was on the shelf, according to Jamal.",35773,backgroundedness,19,expect,,
95,condition1,NA,incorrect,3,embed_focus,Hanako said: Yash didn't whine that Ming forgot her <strong>PHONE</strong>.,9,The way Yash said that Ming forgot her phone.,38119,backgroundedness,20,whine,,
95,condition1,0.82,NA,3,filler_bad_1,Hanako said: Helen didn't think that <strong>MARC</strong> cut the bread. ,114,NA,9372,acceptability,21,think,,
