workerid,proliferate.condition,acceptability_rating,block_id,condition,context,item_id,rt,trial_num,verb,wrong_attempts,error
1235,condition1,1,practice,practice_acceptability_good_1,Hanako said: Fiona didn't buy pineapple.,201,,0,NA,0,
1235,condition1,0.04,practice,practice_accpetability_bad_2,Hanako said: Prisha doesn't speak Korean.,204,,0,NA,0,
1235,condition1,0.66,0,say_adv,Hanako said: Donald didn't say cheerfully that Hasan talked to the detectives.,8,10253,1,say cheerfully,,
1235,condition1,0.63,0,say,Hanako said: Tim didn't say that Charlie saw the robber.,6,9982,2,say,,
1235,condition1,0.72,0,filler_good,Hanako said: Hannah didn't expect that George emailed the students.,101,8150,3,expect,,
1235,condition1,0,0,filler_bad,Hanako said: Igor didn't reveal that Kevin and Paul drafted the letter.,113,8542,4,reveal,,
1235,condition1,0.02,0,filler_bad,Hanako said: Helen didn't believe that Frank and Lisa were in the office.,116,5242,5,believe,,
1235,condition1,0.83,0,filler_good,Hanako said: Julian didn't speculate that Karen wrote a book.,104,4813,6,speculate,,
1235,condition1,0.74,1,say,Hanako said: Sally didn't say that Brandon broke his laptop.,4,7246,7,say,,
1235,condition1,0.52,1,say_adv,Hanako said: Emily didn't say wearily that Omar had dinner with his manager.,10,10839,8,say wearily,,
1235,condition1,0.72,1,filler_good,Hanako said: Ollie didn't reveal that Dana brought a gift.,108,3822,9,reveal,,
1235,condition1,0.83,1,filler_good,Hanako said: Kate didn't guess that Maddie would call her roommate.,106,5103,10,guess,,
1235,condition1,0.04,1,filler_bad,Hanako said: Bill didn't expect that Liz and Jason drank the beer. ,115,4023,11,expect,,
1235,condition1,0.03,1,filler_bad,Hanako said: Frankie didn't speculate that Judith and Laura would order pizza.,118,4191,12,speculate,,
1235,condition1,0,2,filler_bad,Hanako said: Grace didn't guess that the assistant to the director would give the presentation.,122,6272,13,guess,,
1235,condition1,1,2,say,Hanako said: Nancy didn't say that Dan knew the professor.,5,4861,14,say,,
1235,condition1,0.79,2,filler_good,Hanako said: Jessie didn't expect that Tony would visit George.,112,3503,15,expect,,
1235,condition1,0.64,2,filler_good,Hanako said: Ashley didn't hope that Zack broke the plates.,109,4255,16,hope,,
1235,condition1,0.01,2,filler_bad,Hanako said: Howard didn't hope that Karl and Nick cooked dinner.,117,5575,17,hope,,
1235,condition1,0.63,2,say_adv,Hanako said: Emma didn't say bluntly that Yumi found the wallet.,7,3927,18,say bluntly,,
1235,condition1,0.01,3,filler_bad,Hanako said: Laura didn't expect that the book about astronomy was on the shelf.,124,6423,19,expect,,
1235,condition1,0.97,3,filler_good,Hanako said: Yash didn't insist that Jennifer got a cat.,105,4911,20,insist,,
1235,condition1,0.03,3,say_adv,Hanako said: Rui didn't say quietly that Tia brought her parents.,12,7855,21,say quietly,,
1235,condition1,0.69,3,say,Hanako said: Tony didn't say that Ming forgot her phone. ,9,4647,22,say,,
1235,condition1,0.88,3,filler_good,Hanako said: Matthew didn't suspect that Julian ate the cupcake.,103,3880,23,suspect,,
1235,condition1,0.03,3,filler_bad,Hanako said: Fatima didn't suggest that Carol's brother signed the contract.,119,6335,24,suggest,,
1235,condition1,0.68,4,say,Hanako said: Jake didn't say that Kevin lost the keys.,2,2406,25,say,,
1235,condition1,0.03,4,filler_bad,Hanako said: John didn't insist that the agent of the guitarist would show up.,120,4448,26,insist,,
1235,condition1,0.03,4,filler_bad,Hanako said: Ronald didn't suspect that Eva's uncle should stay for dinner.,121,5600,27,suspect,,
1235,condition1,0.77,4,filler_good,Hanako said: Larry didn't think that Doug would invite the mayor.,102,4318,28,think,,
1235,condition1,0.96,4,filler_good,Hanako said: Chandler didn't imply that Jacy rented the truck.,107,4184,29,imply,,
1235,condition1,0.55,4,say_adv,Hanako said: Ben didn't say loudly that Alex bought a birthday cake.,3,4567,30,say loudly,,
1235,condition1,0.99,5,filler_good,Hanako said: Jess didn't suggest that Charlie received a message.,110,3623,31,suggest,,
1235,condition1,0.59,5,say,Hanako said: Amy didn't say that Penny won the lottery.,11,3601,32,say,,
1235,condition1,0.61,5,say_adv,Hanako said: Jamal didn't say ruefully that Mary met with the lawyer.,1,7925,33,say ruefully,,
1235,condition1,0.02,5,filler_bad,Hanako said: Charlie didn't think that Rob and Marc cut the bread. ,114,4447,34,think,,
1235,condition1,0.03,5,filler_bad,Hanako said: Ted didn't imply that Krisha's parents were moving to Texas.,123,5679,35,imply,,
1235,condition1,0.38,5,filler_good,Hanako said: Danny didn't believe that Todd went out with Betty.,111,4999,36,believe,,
1167,condition1,0.98,practice,practice_acceptability_good_1,Hanako said: Fiona didn't buy pineapple.,201,,0,NA,0,
1167,condition1,0.04,practice,practice_accpetability_bad_2,Hanako said: Prisha doesn't speak Korean.,204,,0,NA,0,
1167,condition1,0.96,0,filler_good,Hanako said: Danny didn't suggest that Zack broke the plates.,109,7191,1,suggest,,
1167,condition1,0.28,0,say,Hanako said: Jessie didn't say that Alex bought a birthday cake.,3,8638,2,say,,
1167,condition1,0.38,0,say_adv,Hanako said: Chandler didn't say dryly that Tia brought her parents.,12,6417,3,say dryly,,
1167,condition1,0.03,0,filler_bad,Hanako said: Tim didn't suspect that Carol's brother signed the contract.,119,5943,4,suspect,,
1167,condition1,0.96,0,filler_good,Hanako said: Emma didn't suspect that Maddie would call her roommate.,106,4330,5,suspect,,
1167,condition1,0.04,0,filler_bad,Hanako said: Jake didn't guess that the assistant to the director would give the presentation.,122,9596,6,guess,,
1167,condition1,0.94,1,filler_good,Hanako said: Sally didn't guess that George emailed the students.,101,3715,7,guess,,
1167,condition1,0.97,1,filler_good,Hanako said: Amy didn't insist that Jennifer got a cat.,105,3208,8,insist,,
