workerid,proliferate.condition,acceptability_rating,bg_response,block_id,condition,context,item_id,original_bg_choice,rt,task,trial_num,verb,wrong_attempts,error
13,condition1,1,NA,practice,practice_acceptability_good_1,Hanako said: Fiona didn't buy pineapples.,201,,,acceptability,0,NA,0,
13,condition1,NA,correct,practice,practice_bg_good_2,<u>Hanako said: Vera didn't drive to Michigan.</u>,202,How Vera travelled to Michigan.,,backgroundedness,0,NA,,
13,condition1,0,NA,practice,practice_accpetability_bad_2,Hanako said: Prisha doesn't speak Korean.,204,,,acceptability,0,NA,0,
13,condition1,NA,correct,practice,practice_bg_bad_1,<u>Hanako said: Hank didn't buy the red car.</u>,203,Which car Hank bought.,,backgroundedness,0,NA,,
13,condition1,1,NA,0,say,Hanako said: Sally didn't say that Tony would visit George.,303,NA,13011,acceptability,1,say,,
13,condition1,NA,embed,0,filler_bad,<u>Hanakko said: Larry didn't believe that Karl and Nick cooked dinner.</u>,115,"Who else cooked dinner other than Karl, according to Larry.",15508,backgroundedness,2,believe,,
13,condition1,NA,verb,0,mos,<u>Hanako said: Emma didn't stammer that Kevin lost the keys.</u>,2,The way Emma communicated that Kevin lost the keys.,18923,backgroundedness,3,stammer,,
13,condition1,1,NA,0,filler_good,Hanako said: Grace didn't suggest that Karen wrote a book.,102,NA,6511,acceptability,4,suggest,,
13,condition1,0,NA,1,mos,Hanako said: Amy didn't scream that Charlie saw the robber.,6,NA,10749,acceptability,5,scream,,
13,condition1,NA,embed,1,filler_good,<u>Hanako said: Jean didn't believe that Grant adopted a kitten.</u>,103,"What Grant adopted, according to Jean.",7913,backgroundedness,6,believe,,
13,condition1,0.13,NA,1,filler_bad,Hanako said: Jamal didn't expect that the book about astronomy was on the shelf.,123,NA,14628,acceptability,7,expect,,
13,condition1,NA,embed,1,say,<u>Hanako said: Emily didn't say that Paul drafted the letter.</u>,302,"What Paul drafted, according to Emily.",7058,backgroundedness,8,say,,
13,condition1,NA,embed,2,say,<u>Hanako said: Nancy didn't say that Julian ate the cupcake.</u>,309,"What Julian ate, according to Nancy.",9825,backgroundedness,9,say,,
13,condition1,0.02,NA,2,filler_bad,Hanako said: Helen didn't think that Rob and Marc cut the bread. ,113,NA,9801,acceptability,10,think,,
13,condition1,1,NA,2,filler_good,Hanako said: Jess didn't reveal that Todd went out with Betty.,109,NA,4326,acceptability,11,reveal,,
13,condition1,NA,verb,2,mos,<u>Hanako said: Chandler didn't moan that Tia brought her parents.</u>,12,The way Chandler communicated that Tia brought her parents.,20198,backgroundedness,12,moan,,
13,condition1,NA,embed,3,filler_good,<u>Hanako said: Roger didn't expect that Andy would take the jacket.</u>,104,"What Andy would take, according to Roger.",13109,backgroundedness,13,expect,,
13,condition1,NA,embed,3,filler_bad,<u>Hanako said: Jessie didn't guess that the assistant to the director would give the presentation.</u>,121,"Whose assistant would give the presentation, as Jessie guessed.",9186,backgroundedness,14,guess,,
13,condition1,1,NA,3,mos,Hanako said: Bill didn't shout that Dan knew the professor.,5,NA,8195,acceptability,15,shout,,
13,condition1,1,NA,3,say,Hanako said: Tim didn't say that Jason drank the beer. ,304,NA,6371,acceptability,16,say,,
13,condition1,1,NA,4,filler_good,Hanako said: Matthew didn't hope that Dana brought a gift.,107,NA,5833,acceptability,17,hope,,
13,condition1,NA,embed,4,filler_bad,<u>Hanako said: Donald didn't reveal that the parents of Krishna were moving to Texas. </u>,122,"Whose parents were moving to Texas, as Donald revealed.",9732,backgroundedness,18,reveal,,
13,condition1,NA,embed,4,say,<u>Hanako said: Charlie didn't say that Maddie would call her roommate.</u>,305,"Who Maddie would call, according to Charlie.",5969,backgroundedness,19,say,,
13,condition1,1,NA,4,mos,Hanako said: John didn't whisper that Mary met with the lawyer.,1,NA,8527,acceptability,20,whisper,,
13,condition1,0.91,NA,5,filler_good,Hanako said: Julie didn't guess that Charlie received a message.,108,NA,11732,acceptability,21,guess,,
13,condition1,0.16,NA,5,mos,Hanako said: Igor didn't shriek that Penny won the lottery.,11,NA,7900,acceptability,22,shriek,,
13,condition1,NA,embed,5,filler_bad,<u>Hanako said: Rui didn't imply that Carol's brother signed the contract.</u>,119,"Whose brother signed the contract, according to Rui.",9452,backgroundedness,23,imply,,
13,condition1,NA,embed,5,say,<u>Hanako said: Hannah didn't say that George emailed the students.</u>,301,"Who George emailed, according to Hannah.",13786,backgroundedness,24,say,,
